word,tran,type,frq,exchange
a,"第一个字母 A; 一个; 第一的r\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",1,5,
aah,"abbr.[军] Armored Artillery Howitzer, 装甲榴弹炮\nabbr.[军] Advanced Attack Helicopter, 先进攻击直升机",0,25400,s:aahs/i:aahing/p:aahed
aback,"adv. 向后, 朝后, 突然, 船顶风地",9,9488,
abalone,n. 鲍,0,23388,s:abalones
abandon,vt.丢弃；放弃，抛弃,3,4254,d:abandoned/p:abandoned/i:abandoning/3:abandons
abandoned,"a. 被抛弃的, 无约束的, 恣意放荡的",9,2445,0:abandon/1:dp/p:abandoned/d:abandoned
abandonment,"n. 放弃, 抛弃, 放纵",9,7383,s:abandonments
abase,v. 降低自己，贬抑，使卑下,8,24074,i:abasing/p:abased/3:abases/d:abased
abash,v. 使害羞，使尴尬,8,24665,d:abashed/i:abashing/p:abashed/3:abashes
abashed,adj. 不安的；窘迫的；尴尬的,7,19031,d:abashed/0:abashed/1:d
abate,"vt. 缓和,减弱,减少,废除 vi. 缓和,减弱,减少",7,17530,d:abated/i:abating/p:abated/3:abates
abatement,"n. 减少, 减轻, 缓和, 折扣, 撤消, 中止",9,13630,s:abatements
abbess,n. 女修道院院长,0,18433,s:abbesses
abbey,n. 大修道院,9,3274,s:abbeys
abbot,"n. 男修道院院长, 大寺院男住持",0,6622,s:abbots
abbreviate,"vt. 缩写, 使...简略, 缩短\nvi. 使用缩写词",0,22655,d:abbreviated/i:abbreviating/p:abbreviated/3:abbreviates
abbreviated,"[计] 缩写的, 短缩的, 简写的, 简略的, 缩略的\n[医] 减短的, 缩减的, 省略的",9,12194,d:abbreviated/0:abbreviated/1:d
abbreviation,"n. 缩写词, 缩写, 缩短, 节略",0,15603,s:abbreviations
abdicate,vt. 放弃 vi. 逊位,7,19533,p:abdicated/d:abdicated/i:abdicating/3:abdicates/s:abdicates
abdication,"n. 逊位, 弃权, 辞职",0,14237,
abdomen,n. 腹部,6,9762,s:abdomens
abdominal,"a. 腹部的, 有腹鳍的",9,7012,s:abdominals
abduct,"vt. 诱拐,绑走",7,20918,d:abducted/p:abducted/i:abducting/3:abducts
abductee,n. 被绑架者,0,24840,s:abductees
abduction,"n. 诱拐, 绑架, 外展",9,10999,s:abductions
abductor,"n. 诱拐者, 绑架者, 外展肌\n[医] 展肌, 外展肌",0,23151,s:abductors
abed,adv. 在床上,0,21698,
aberrant,a. 越轨的；异常的,8,16046,
aberration,n. 离开正路，脱离常轨；变形,8,13286,s:aberrations
abet,v. 教唆，鼓励，帮助,8,22656,p:abetted/i:abetting/d:abetted/3:abets
abeyance,n. 中止，搁置,8,16242,
abhor,"vt. 憎恶, 痛恨, 回避, 拒绝",9,19832,p:abhorred/3:abhors/d:abhorred/i:abhorring
abhorrence,"n. 厌恶, 痛恨",0,19638,s:abhorrences
abhorrent,"a. 令人憎恨的,可恶的,不一致的,相反的,厌恶的",7,17664,
abide,"vi. 停留, 遵守, 居留, 继续下去\nvt. 忍受, 经受, 屈从于",6,9449,i:abiding/3:abides/p:abided/d:abided
abiding,"a. 永久的, 持久的, 不变的",9,9208,0:abide/1:i/i:abiding
ability,n.能力；能耐，本领,2,958,s:abilities
abject,a. 极可怜的;卑下的,8,14591,
abjure,v. 发誓放弃,8,22782,d:abjured/i:abjuring/p:abjured/s:abjures/3:abjures
